,mean,mean_se,mean_ci_lower,mean_ci_upper,date
2024-01-01,0.4541919030706263,2.387876115791938,-4.225959283424968,5.1343430895662205,2023-12-02
2024-02-01,0.6936405274273773,4.371120643274464,-7.873598505470125,9.260879560324879,2023-12-03
2024-03-01,0.5885932699225854,5.360374686620508,-9.91754805949379,11.09473459933896,2023-12-04
2024-04-01,0.6346780045453966,6.319903231657295,-11.7521047152812,13.021460724371993,2023-12-05
2024-05-01,0.6144604109051434,7.102150333091495,-13.305498454743335,14.534419276553622,2023-12-06
2024-06-01,0.6233299659963879,7.826094177104029,-14.71553276074614,15.962192692738917,2023-12-07
2024-07-01,0.6194388497282287,8.480528251611407,-16.00209109330456,17.24096879276102,2023-12-08
2024-08-01,0.6211459010579261,9.09122392731903,-17.19732557187616,18.43961737399201,2023-12-09
2024-09-01,0.6203970094696518,9.662053269930158,-18.31687941630092,19.557673435240226,2023-12-10
2024-10-01,0.6207255517936178,10.201550292723425,-19.37394560841834,20.615396712005577,2023-12-11
2024-11-01,0.6205814187036925,10.71368127296794,-20.377848018154708,21.619010855562095,2023-12-12
