,mean,mean_se,mean_ci_lower,mean_ci_upper,date,district,state,target
0,33.05435437243225,24.440486147779108,-14.848118241864888,80.9568269867294,2023-12-02,West Jaintia Hills,Meghalaya,diarrhea_cases
1,33.05393328157925,35.32899306916222,-36.18962074404389,102.29748730720239,2023-12-03,West Jaintia Hills,Meghalaya,diarrhea_cases
2,33.05393654382842,43.57195368564086,-52.34552341607493,118.45339650373177,2023-12-04,West Jaintia Hills,Meghalaya,diarrhea_cases
3,33.053936518555325,50.48659050808545,-65.89796257951392,132.00583561662455,2023-12-05,West Jaintia Hills,Meghalaya,diarrhea_cases
4,33.05393651875112,56.56214696151015,-77.80583441407043,143.91370745157266,2023-12-06,West Jaintia Hills,Meghalaya,diarrhea_cases
5,33.05393651874961,62.04560513732208,-88.55321494939501,154.66108798689424,2023-12-07,West Jaintia Hills,Meghalaya,diarrhea_cases
6,33.05393651874962,67.0823208067221,-98.42499626178758,164.53286929928683,2023-12-08,West Jaintia Hills,Meghalaya,diarrhea_cases
7,33.05393651874962,71.76641563276992,-107.60565342101174,173.71352645851098,2023-12-09,West Jaintia Hills,Meghalaya,diarrhea_cases
8,33.05393651874962,76.1629769687017,-116.22275529525933,182.33062833275858,2023-12-10,West Jaintia Hills,Meghalaya,diarrhea_cases
9,33.05393651874962,80.31923623077158,-124.3688737593273,190.47674679682655,2023-12-11,West Jaintia Hills,Meghalaya,diarrhea_cases
10,33.05393651874962,84.27075623639551,-132.11371065453974,198.221583692039,2023-12-12,West Jaintia Hills,Meghalaya,diarrhea_cases
11,37.915827303378315,21.865925264730993,-4.940598704138878,80.77225331089551,2023-12-02,East Jaintia Hills,Meghalaya,diarrhea_cases
12,41.77748040859431,24.593958783578483,-6.425793044482035,89.98075386167065,2023-12-03,East Jaintia Hills,Meghalaya,diarrhea_cases
13,43.66134726590435,25.32484334806348,-5.974433610418835,93.29712814222754,2023-12-04,East Jaintia Hills,Meghalaya,diarrhea_cases
14,44.58037190104767,25.556103999397173,-5.508671522930825,94.66941532502616,2023-12-05,East Jaintia Hills,Meghalaya,diarrhea_cases
15,45.02870840461901,25.640187232524713,-5.225135127993148,95.28255193723118,2023-12-06,East Jaintia Hills,Meghalaya,diarrhea_cases
16,45.247424653072166,25.674453988350464,-5.073580486825492,95.56842979296982,2023-12-07,East Jaintia Hills,Meghalaya,diarrhea_cases
17,45.354123074807546,25.689571653246077,-4.996512143815856,95.70475829343096,2023-12-08,East Jaintia Hills,Meghalaya,diarrhea_cases
18,45.406174777784976,25.696566916272115,-4.958170904431846,95.77052046000179,2023-12-09,East Jaintia Hills,Meghalaya,diarrhea_cases
19,45.43156765369433,25.69988919913498,-4.939289583280164,95.80242489066882,2023-12-10,East Jaintia Hills,Meghalaya,diarrhea_cases
20,45.44395530116914,25.70148846392147,-4.930036437188619,95.8179470395269,2023-12-11,East Jaintia Hills,Meghalaya,diarrhea_cases
21,45.44999848471826,25.702263538812016,-4.9255123725102905,95.8255093419468,2023-12-12,East Jaintia Hills,Meghalaya,diarrhea_cases
22,12.67768189345666,8.082823522530406,-3.164361104096111,28.51972489100943,2023-12-02,East Khasi Hills,Meghalaya,diarrhea_cases
23,13.150246635006393,8.458012498049188,-3.427153241959669,29.727646511972456,2023-12-03,East Khasi Hills,Meghalaya,diarrhea_cases
24,13.283357349157244,8.50401924875794,-3.384214102243684,29.950928800558174,2023-12-04,East Khasi Hills,Meghalaya,diarrhea_cases
25,13.320851602671892,8.512424781641027,-3.3631943904507526,30.00489759579454,2023-12-05,East Khasi Hills,Meghalaya,diarrhea_cases
26,13.331412879091966,8.514433201860044,-3.3565695453257742,30.019395303509704,2023-12-06,East Khasi Hills,Meghalaya,diarrhea_cases
27,13.334387749883236,8.514970460998908,-3.3546476830970438,30.023423182863517,2023-12-07,East Khasi Hills,Meghalaya,diarrhea_cases
28,13.335225703163953,8.515119536885663,-3.354101913185332,30.024553319513238,2023-12-08,East Khasi Hills,Meghalaya,diarrhea_cases
29,13.33546173549945,8.515161349211935,-3.3539478315034366,30.024871302502337,2023-12-09,East Khasi Hills,Meghalaya,diarrhea_cases
30,13.335528220427287,8.5151731127609,-3.3539044027079026,30.024960843562475,2023-12-10,East Khasi Hills,Meghalaya,diarrhea_cases
31,13.335546947715734,8.515176425339293,-3.353892167953802,30.02498606338527,2023-12-11,East Khasi Hills,Meghalaya,diarrhea_cases
32,13.335552222765944,8.515177358510117,-3.353888721884797,30.024993167416685,2023-12-12,East Khasi Hills,Meghalaya,diarrhea_cases
33,12.108141652967992,9.74532686489087,-6.992348019788752,31.20863132572474,2023-12-02,Ri Bhoi,Meghalaya,diarrhea_cases
34,12.049340728688655,11.890942846276426,-11.25647899223734,35.35516044961465,2023-12-03,Ri Bhoi,Meghalaya,diarrhea_cases
35,12.081313133411632,14.563061096208052,-16.461762119812548,40.624388386635815,2023-12-04,Ri Bhoi,Meghalaya,diarrhea_cases
36,12.063928463420499,16.39959101089673,-20.078679279123914,44.20653620596491,2023-12-05,Ri Bhoi,Meghalaya,diarrhea_cases
37,12.073381200970871,18.252147487112385,-23.700170514282654,47.8469329162244,2023-12-06,Ri Bhoi,Meghalaya,diarrhea_cases
38,12.068241371037844,19.8316467505667,-26.801072014193686,50.93755475626937,2023-12-07,Ri Bhoi,Meghalaya,diarrhea_cases
39,12.071036101305099,21.345455826186246,-29.76528855161061,53.907360754220804,2023-12-08,Ri Bhoi,Meghalaya,diarrhea_cases
40,12.069516495137487,22.732621299098355,-32.485602525283426,56.624635515558396,2023-12-09,Ri Bhoi,Meghalaya,diarrhea_cases
41,12.070342765540646,24.053308636718178,-35.07327587145321,59.2139614025345,2023-12-10,Ri Bhoi,Meghalaya,diarrhea_cases
42,12.069893489409969,25.298212691649187,-37.51369225945653,61.653479238276475,2023-12-11,Ri Bhoi,Meghalaya,diarrhea_cases
43,12.070137778738044,26.48827231602163,-39.84592197335371,63.9861975308298,2023-12-12,Ri Bhoi,Meghalaya,diarrhea_cases
44,10.735233765137366,6.340481785620659,-1.691882179311337,23.162349709586067,2023-12-02,South West Khasi Hills,Meghalaya,diarrhea_cases
45,11.636183854117656,7.2248770206984645,-2.5243148991823805,25.796682607417694,2023-12-03,South West Khasi Hills,Meghalaya,diarrhea_cases
46,12.1039658205257,7.485659914644158,-2.567658012692025,26.775589653743424,2023-12-04,South West Khasi Hills,Meghalaya,diarrhea_cases
47,12.346842724333147,7.575083166240489,-2.5000474613938515,27.193732910060145,2023-12-05,South West Khasi Hills,Meghalaya,diarrhea_cases
48,12.47294675278908,7.609681810844763,-2.441755530276197,27.387649035854356,2023-12-06,South West Khasi Hills,Meghalaya,diarrhea_cases
49,12.53842117931348,7.62451039781263,-2.4053446001504355,27.482186958777394,2023-12-07,South West Khasi Hills,Meghalaya,diarrhea_cases
50,12.572416132378734,7.631370262265439,-2.3847947343515123,27.52962699910898,2023-12-08,South West Khasi Hills,Meghalaya,diarrhea_cases
51,12.590066639534811,7.634706438912935,-2.3736830132705915,27.553816292340215,2023-12-09,South West Khasi Hills,Meghalaya,diarrhea_cases
52,12.599230952904172,7.636377908735652,-2.3677947205550005,27.566256626363344,2023-12-10,South West Khasi Hills,Meghalaya,diarrhea_cases
53,12.60398915269918,7.637229399710528,-2.3647054124039126,27.57268371780227,2023-12-11,South West Khasi Hills,Meghalaya,diarrhea_cases
54,12.606459655875655,7.637667095636126,-2.363092777477789,27.5760120892291,2023-12-12,South West Khasi Hills,Meghalaya,diarrhea_cases
