,mean,mean_se,mean_ci_lower,mean_ci_upper,date,district,state,target
0,0.006967444357337496,3.241440170237814,-6.34613854735016,6.360073436064834,2023-12-02,Imphal West,Manipur,je_cases
1,0.007593512881259712,4.8731948496167075,-9.543692882013572,9.55887990777609,2023-12-03,Imphal West,Manipur,je_cases
2,0.007649769060217692,6.103299779216682,-11.954597985055743,11.969897523176178,2023-12-04,Imphal West,Manipur,je_cases
3,0.007654824030320845,7.125734970052147,-13.958529080649487,13.973838728710128,2023-12-05,Imphal West,Manipur,je_cases
4,0.007655278251052097,8.018980626968263,-15.709257943331165,15.72456849983327,2023-12-06,Imphal West,Manipur,je_cases
5,0.007655319065630322,8.822255510923322,-17.28364774475409,17.298958382885353,2023-12-07,Imphal West,Manipur,je_cases
6,0.007655322733075864,9.558260899792407,-18.726191795697453,18.741502441163604,2023-12-08,Imphal West,Manipur,je_cases
7,0.007655323062618821,10.24150926844756,-20.065333990427757,20.080644636552993,2023-12-09,Imphal West,Manipur,je_cases
8,0.00765532309223032,10.881942515063992,-21.320560088268408,21.335870734452868,2023-12-10,Imphal West,Manipur,je_cases
9,0.007655323094891099,11.486724237964495,-22.505910483658816,22.5212211298486,2023-12-11,Imphal West,Manipur,je_cases
10,0.007655323095130186,12.061218617454918,-23.631898776780492,23.64720942297075,2023-12-12,Imphal West,Manipur,je_cases
11,1.537541230676456,3.927839729644412,-6.160883176472135,9.235965637825046,2023-12-02,Bishnupur,Manipur,je_cases
12,1.790048488788614,4.844499034880443,-7.704995142716106,11.285092120293333,2023-12-03,Bishnupur,Manipur,je_cases
13,1.6521769213565938,5.936999024758368,-9.984127343419232,13.288481186132419,2023-12-04,Bishnupur,Manipur,je_cases
14,1.7274562192598601,6.700586782815807,-11.405452550344231,14.860364988863951,2023-12-05,Bishnupur,Manipur,je_cases
15,1.6863529461313893,7.46216332188972,-12.93921841152823,16.31192430379101,2023-12-06,Bishnupur,Manipur,je_cases
16,1.7087957572219583,8.114292097820632,-14.194924514544443,17.61251602898836,2023-12-07,Bishnupur,Manipur,je_cases
17,1.6965417508786511,8.737290147896303,-15.428232261474744,18.821315763232047,2023-12-08,Bishnupur,Manipur,je_cases
18,1.703232564736854,9.308708198966137,-16.541500247829486,19.947965377303195,2023-12-09,Bishnupur,Manipur,je_cases
19,1.699579311357434,9.852186895339052,-17.6103521724646,21.009510795179466,2023-12-10,Bishnupur,Manipur,je_cases
20,1.7015740253843206,10.36453172562537,-18.61253487346418,22.015682924232824,2023-12-11,Bishnupur,Manipur,je_cases
21,1.700484890951031,10.85411409172796,-19.57318781292445,22.97415759482651,2023-12-12,Bishnupur,Manipur,je_cases
22,0.2308449203106569,4.067177375933305,-7.740676255254744,8.202366095876059,2023-12-02,Imphal East,Manipur,je_cases
23,0.11499990644477266,5.09085108609352,-9.862884872955144,10.09288468584469,2023-12-03,Imphal East,Manipur,je_cases
24,0.17313446370306973,6.21575347922201,-12.009518492351605,12.355787419757744,2023-12-04,Imphal East,Manipur,je_cases
25,0.1439607717603947,7.043626047473723,-13.661292601856317,13.949214145377105,2023-12-05,Imphal East,Manipur,je_cases
26,0.15860101917441677,7.8388636263229206,-15.205289368139551,15.522491406488387,2023-12-06,Imphal East,Manipur,je_cases
27,0.15125409699655387,8.535119952027694,-16.57727361270696,16.879781806700066,2023-12-07,Imphal East,Manipur,je_cases
28,0.15494100637459318,9.1905306821752,-17.858168129499134,18.16805014224832,2023-12-08,Imphal East,Manipur,je_cases
29,0.15309080292438754,9.796644146741425,-19.047978894043933,19.35416049989271,2023-12-09,Imphal East,Manipur,je_cases
30,0.15401929138345927,10.3700218872072,-20.170850126434736,20.478888709201655,2023-12-10,Imphal East,Manipur,je_cases
31,0.15355334758763856,10.912056972883896,-21.233685316513963,21.54079201168924,2023-12-11,Imphal East,Manipur,je_cases
32,0.15378717237968914,11.42901610030589,-22.246672762948272,22.554247107707653,2023-12-12,Imphal East,Manipur,je_cases
33,2.358902548409912,2.913198625399982,-3.350861837185645,8.068666934005469,2023-12-02,Thoubal,Manipur,je_cases
34,2.5824270952214663,3.4745068918140194,-4.2274812767702175,9.392335467213151,2023-12-03,Thoubal,Manipur,je_cases
35,2.7216382076771133,3.6940236037452414,-4.51851501370442,9.961791429058646,2023-12-04,Thoubal,Manipur,je_cases
36,2.808338903898532,3.7907888925064834,-4.621470798408654,10.23814860620572,2023-12-05,Thoubal,Manipur,je_cases
37,2.8623361070864144,3.8369187592184844,-4.6578864725879265,10.382558686760756,2023-12-06,Thoubal,Manipur,je_cases
38,2.8959655711989893,3.8603892955410255,-4.670258414365371,10.46218955676335,2023-12-07,Thoubal,Manipur,je_cases
39,2.91691000516465,3.8730084261864626,-4.674047021980973,10.507867032310273,2023-12-08,Thoubal,Manipur,je_cases
40,2.929954200953006,3.880100894704644,-4.674903809049736,10.53481221095575,2023-12-09,Thoubal,Manipur,je_cases
41,2.9380781275314916,3.884222475662153,-4.674858032707336,10.551014287770318,2023-12-10,Thoubal,Manipur,je_cases
42,2.943137709902337,3.8866751337815315,-4.674605571916861,10.560880991721536,2023-12-11,Thoubal,Manipur,je_cases
43,2.9462888183620275,3.888158420349069,-4.6743616517082955,10.566939288432351,2023-12-12,Thoubal,Manipur,je_cases
44,0.9908972257138292,0.7105295636412698,-0.40171512897401984,2.3835095804016784,2023-12-02,Kakching,Manipur,je_cases
45,0.9938098663882602,0.7110900535634705,-0.3999010283608,2.3875207611373206,2023-12-03,Kakching,Manipur,je_cases
