,mean,mean_se,mean_ci_lower,mean_ci_upper,date,district,state,target
39,0.0,2.6528103193512808e-06,-5.19941268374471e-06,5.19941268374471e-06,2023-12-08,Ri Bhoi,Meghalaya,je_cases
40,0.0,2.8359735220316734e-06,-5.55840596429129e-06,5.55840596429129e-06,2023-12-09,Ri Bhoi,Meghalaya,je_cases
41,0.0,3.0080041630411398e-06,-5.895579824907183e-06,5.895579824907183e-06,2023-12-10,Ri Bhoi,Meghalaya,je_cases
42,0.0,3.1707147888261598e-06,-6.214486791347796e-06,6.214486791347796e-06,2023-12-11,Ri Bhoi,Meghalaya,je_cases
43,0.0,3.32547372554483e-06,-6.517808733602103e-06,6.517808733602103e-06,2023-12-12,Ri Bhoi,Meghalaya,je_cases
44,0.0,1.0026680543470473e-06,-1.9651932749690622e-06,1.9651932749690622e-06,2023-12-02,South West Khasi Hills,Meghalaya,je_cases
45,0.0,1.4179867610158371e-06,-2.7792029821456456e-06,2.7792029821456456e-06,2023-12-03,South West Khasi Hills,Meghalaya,je_cases
46,0.0,1.7366720132553172e-06,-3.403814598939089e-06,3.403814598939089e-06,2023-12-04,South West Khasi Hills,Meghalaya,je_cases
47,0.0,2.0053361086940933e-06,-3.930386549938122e-06,3.930386549938122e-06,2023-12-05,South West Khasi Hills,Meghalaya,je_cases
48,0.0,2.2420339283874495e-06,-4.394305751756255e-06,4.394305751756255e-06,2023-12-06,South West Khasi Hills,Meghalaya,je_cases
49,0.0,2.4560251145394568e-06,-4.8137207696231965e-06,4.8137207696231965e-06,2023-12-07,South West Khasi Hills,Meghalaya,je_cases
50,0.0,2.6528103193512808e-06,-5.19941268374471e-06,5.19941268374471e-06,2023-12-08,South West Khasi Hills,Meghalaya,je_cases
51,0.0,2.8359735220316734e-06,-5.55840596429129e-06,5.55840596429129e-06,2023-12-09,South West Khasi Hills,Meghalaya,je_cases
52,0.0,3.0080041630411398e-06,-5.895579824907183e-06,5.895579824907183e-06,2023-12-10,South West Khasi Hills,Meghalaya,je_cases
53,0.0,3.1707147888261598e-06,-6.214486791347796e-06,6.214486791347796e-06,2023-12-11,South West Khasi Hills,Meghalaya,je_cases
54,0.0,3.32547372554483e-06,-6.517808733602103e-06,6.517808733602103e-06,2023-12-12,South West Khasi Hills,Meghalaya,je_cases
